aobtDateKey;adep;ades;aobtDate;aobtTime;aibtDate;aibtTime;aircraftRegistration;aircraftType;airline
20170615;LEMH;LSZH;15/06/2017;20:59:00;16/06/2017;0:00:00;SERFR;B763;BLX
20170518;LEMH;LEMD;18/05/2017;12:03:00;18/05/2017;13:27:00;ECMNQ;CRJX;ANE
20170615;LEMH;LEBL;15/06/2017;16:09:00;15/06/2017;16:52:00;EIDYE;B738;RYR
20170615;LEMH;LFLL;15/06/2017;16:24:00;16/06/2017;0:00:00;OOJAO;B737;JAF
20170615;LEMH;EGKK;15/06/2017;8:20:00;16/06/2017;0:00:00;GTCDG;A321;TCX
20170518;LEMH;ESSA;18/05/2017;22:10:00;19/05/2017;0:00:00;GOBYF;B763;BLX
20170518;LEMH;LEBL;18/05/2017;17:35:00;18/05/2017;18:22:00;ECLVS;A320;VLG
20170615;LEMH;EGLK;15/06/2017;12:43:00;16/06/2017;0:00:00;MYBLS;PC12;ZZZ
20170615;LEMH;LEPA;15/06/2017;10:21:00;15/06/2017;10:51:00;ECLYB;AT75;AEA
20170615;LEMH;EBBR;15/06/2017;9:42:00;16/06/2017;0:00:00;OOJEB;E190;JAF
20170615;LEMH;EDDF;15/06/2017;18:43:00;16/06/2017;0:00:00;DATUZ;B738;TUI
20170615;LEMH;LEPA;15/06/2017;15:28:00;15/06/2017;16:02:00;ECLKF;CRJX;ANE
20170518;LEMH;LEBL;18/05/2017;9:26:00;18/05/2017;10:01:00;ECJZI;A320;VLG
20170615;LEMH;EDDM;15/06/2017;6:55:00;16/06/2017;0:00:00;DAHFT;B738;TUI
20170615;LEMH;LEMD;15/06/2017;7:10:00;15/06/2017;8:45:00;EIFRC;B738;RYR
20170615;LEMH;LOWW;15/06/2017;15:00:00;16/06/2017;0:00:00;MACPT;H25C;ZZZ
20170519;LEMH;EGCC;19/05/2017;18:25:00;20/05/2017;0:00:00;GTAWS;B738;TOM
20170615;LEMH;LEBL;15/06/2017;6:53:00;15/06/2017;7:40:00;ECLRY;A320;VLG
20170519;LEMH;EGNX;19/05/2017;15:48:00;20/05/2017;0:00:00;GCELE;B733;EXS
20170615;LEMH;EHAM;15/06/2017;14:33:00;16/06/2017;0:00:00;PHHZL;B738;TRA
20170615;LEMH;EGKK;15/06/2017;8:38:00;16/06/2017;0:00:00;GEZUT;A320;EZY
20170615;LEMH;LEBL;15/06/2017;17:40:00;15/06/2017;18:28:00;ECMKV;A319;VLG
20170615;LEMH;LEPA;15/06/2017;7:28:00;15/06/2017;8:02:00;ECLKF;CRJX;ANE
20170519;LEMH;EGLL;19/05/2017;18:41:00;20/05/2017;0:00:00;GEUYV;A320;BAW
20170615;LEMH;EPWA;15/06/2017;14:58:00;16/06/2017;0:00:00;SPENY;B738;ENT
20170519;LEMH;EGMC;19/05/2017;19:35:00;20/05/2017;0:00:00;GEZIO;A319;EZY
20170615;LEMH;LFSB;15/06/2017;13:20:00;16/06/2017;0:00:00;DATUZ;B738;TUI
20170615;LEMH;LFJL;15/06/2017;11:15:00;16/06/2017;0:00:00;OOJAO;B737;JAF
20170615;LEMH;LIPE;15/06/2017;9:00:00;16/06/2017;0:00:00;INEOZ;B738;NOS
20170615;LEMH;LEPA;15/06/2017;8:11:00;15/06/2017;8:42:00;ECLYB;AT75;AEA
20170615;LEMH;EGKK;15/06/2017;14:51:00;16/06/2017;0:00:00;GEZOX;A320;EZY
20170615;LEMH;EGKK;15/06/2017;9:33:00;16/06/2017;0:00:00;YLLCP;A320;MON
20170615;LEMH;EDDV;15/06/2017;8:08:00;16/06/2017;0:00:00;DASUN;B738;TUI
20170615;LEMH;LEPA;15/06/2017;18:35:00;15/06/2017;19:03:00;ECINV;AT73;SWT
20170615;LEMH;LIMC;15/06/2017;11:38:00;16/06/2017;0:00:00;INEOX;B738;NOS
20170616;LEMH;EGGD;16/06/2017;8:48:00;17/06/2017;0:00:00;GTCDH;A321;TCX
20170616;LEMH;EGBB;16/06/2017;17:12:00;17/06/2017;0:00:00;GTAWC;B738;TOM
20170519;LEMH;EGFF;19/05/2017;17:05:00;20/05/2017;0:00:00;GFDZG;B738;TOM
20170519;LEMH;EGCC;19/05/2017;11:20:00;20/05/2017;0:00:00;GOJEG;A321;MON
20170519;LEMH;LEBL;19/05/2017;9:08:00;19/05/2017;9:54:00;ECJZI;A320;VLG
20170616;LEMH;LIRA;16/06/2017;5:30:00;17/06/2017;0:00:00;ECKOL;C56X;GES
20170616;LEMH;LEVC;16/06/2017;15:05:00;16/06/2017;16:05:00;EIFIB;B738;RYR
20170519;LEMH;LEPA;19/05/2017;5:07:00;19/05/2017;5:38:00;ECMJO;CRJX;ANE
20170616;LEMH;EGNM;16/06/2017;10:15:00;17/06/2017;0:00:00;GJZHD;B738;EXS
20170616;LEMH;EGKK;16/06/2017;10:23:00;17/06/2017;0:00:00;EIFHN;B738;IBK
20170415;LEMH;LEMD;15/04/2017;11:58:00;15/04/2017;13:31:00;ECJYV;CRJ9;ANE
20170519;LEMH;EGGW;19/05/2017;8:15:00;20/05/2017;0:00:00;GEZDZ;A319;EZY
20170616;LEMH;EGKK;16/06/2017;16:50:00;17/06/2017;0:00:00;GFDZE;B738;TOM
20170616;LEMH;LEBL;16/06/2017;17:40:00;16/06/2017;18:34:00;ECMIR;A319;VLG
20170519;LEMH;EGKK;19/05/2017;8:35:00;20/05/2017;0:00:00;GTCDZ;A321;TCX
20170616;LEMH;EGNM;16/06/2017;11:20:00;17/06/2017;0:00:00;GZBAT;A320;MON
20170519;LEMH;EGAA;19/05/2017;17:55:00;20/05/2017;0:00:00;GGDFG;B733;EXS
20170616;LEMH;LEPA;16/06/2017;9:40:00;16/06/2017;10:19:00;ECMJP;CRJX;ANE
20170519;LEMH;EGBB;19/05/2017;9:22:00;20/05/2017;0:00:00;GTCDN;A321;TCX
20170616;LEMH;LEPA;16/06/2017;7:25:00;16/06/2017;8:03:00;ECMJP;CRJX;ANE
20170616;LEMH;EGLL;16/06/2017;18:45:00;17/06/2017;0:00:00;GEUYW;A320;BAW
20170519;LEMH;EGNM;19/05/2017;21:04:00;20/05/2017;0:00:00;CFFPH;B738;TOM
20170616;LEMH;EGKK;16/06/2017;11:10:00;17/06/2017;0:00:00;GOZBI;A321;MON
20170616;LEMH;EGKK;16/06/2017;8:28:00;17/06/2017;0:00:00;GEZMK;A319;EZY
20170616;LEMH;LEBL;16/06/2017;9:10:00;16/06/2017;10:07:00;ECMNZ;A320;VLG
20170616;LEMH;LEVC;16/06/2017;9:47:00;16/06/2017;10:43:00;ECJZS;CRJ9;ANE
20170616;LEMH;EGNX;16/06/2017;15:43:00;17/06/2017;0:00:00;GCELG;B733;EXS
20170519;LEMH;LEMD;19/05/2017;5:01:00;19/05/2017;6:35:00;ECMNQ;CRJX;ANE
20170616;LEMH;LEPA;16/06/2017;17:50:00;16/06/2017;18:38:00;ECMJP;CRJX;ANE
20170616;LEMH;LEPA;16/06/2017;15:28:00;16/06/2017;15:59:00;ECLYB;AT75;AEA
20170616;LEMH;EGCC;16/06/2017;11:20:00;17/06/2017;0:00:00;GDRTA;B738;EXS
20170519;LEMH;EGKK;19/05/2017;9:00:00;20/05/2017;0:00:00;GEZIK;A319;EZY
20170520;LEMH;LFLC;20/05/2017;7:02:00;21/05/2017;0:00:00;LYSPI;A320;LLC
20170616;LEMH;LEBB;16/06/2017;11:20:00;16/06/2017;12:44:00;ECLVT;A320;VLG
20170520;LEMH;LFRS;20/05/2017;6:20:00;21/05/2017;0:00:00;OOJAL;B737;JAF
20170616;LEMH;EGCC;16/06/2017;18:35:00;17/06/2017;0:00:00;GFDZU;B738;TOM
20170616;LEMH;EGNT;16/06/2017;9:33:00;17/06/2017;0:00:00;GJZHH;B738;EXS
20170616;LEMH;EGFF;16/06/2017;17:09:00;17/06/2017;0:00:00;GTAWB;B738;TOM
20170616;LEMH;LEBL;16/06/2017;16:59:00;16/06/2017;17:51:00;ECMJB;A320;VLG
20170616;LEMH;LEPA;16/06/2017;10:31:00;16/06/2017;11:10:00;ECLYB;AT75;AEA
20170616;LEMH;LEPA;16/06/2017;15:29:00;16/06/2017;16:00:00;ECMJP;CRJX;ANE
20170616;LEMH;EGTE;16/06/2017;8:06:00;17/06/2017;0:00:00;GFDZG;B738;TOM
20170616;LEMH;LEPA;16/06/2017;8:02:00;16/06/2017;8:56:00;ECLYB;AT75;AEA
20170616;LEMH;LFPL;16/06/2017;9:16:00;17/06/2017;0:00:00;LXJFZ;PC12;JFA
20170616;LEMH;LEBL;16/06/2017;16:25:00;16/06/2017;17:12:00;EIDAC;B738;RYR
20170616;LEMH;EGBB;16/06/2017;9:43:00;17/06/2017;0:00:00;GZBAH;A320;MON
20170520;LEMH;LEBL;20/05/2017;20:25:00;20/05/2017;21:20:00;ECMQL;A321;VLG
20170616;LEMH;LEMD;16/06/2017;18:51:00;16/06/2017;20:24:00;EIDHC;B738;RYR
20170616;LEMH;LEBL;16/06/2017;5:14:00;16/06/2017;5:52:00;ECLZS;C510;ORO
20170520;LEMH;LFBD;20/05/2017;11:50:00;21/05/2017;0:00:00;FHOPZ;AT76;HOP
20170520;LEMH;LIPZ;20/05/2017;20:46:00;21/05/2017;0:00:00;GEZUW;A320;EZY
20170616;LEMH;EGGD;16/06/2017;9:20:00;17/06/2017;0:00:00;GOOBP;B752;TOM
20170616;LEMH;LEPA;16/06/2017;18:31:00;16/06/2017;19:14:00;ECINV;AT73;SWT
